name,Model,price,Giá hiện tại,Khuyến mãi,Link,Mô tả
Laptop Acer Gaming Nitro V ANV15 51 58AN i5 13420H/8GB/512GB/4GB RTX2050/144Hz/Win11 (NH.QNASV.001),Acer,21.490.000₫,16.790.000₫ *,-21%,//www.thegioididong.com/laptop/acer-nitro-v-anv15-51-58an-i5-nhqnasv001,"['Tận hưởng những trải nghiệm giải trí tuyệt vời cùng bạn bè chỉ với một mức giá vô cùng hấp dẫn tại Thế Giới Di Động. Laptop Acer Gaming Nitro V ANV15 51 58AN i5 13420H (NH.QNASV.001) không chỉ hấp dẫn game thủ bởi vẻ ngoài cá tính, mạnh mẽ mà còn bởi bộ cấu hình vượt trội cùng đa dạng tiện ích hỗ trợ cho quá trình chơi game.']"
Laptop MSI Gaming Katana 15 B13UDXK i7 13620H/16GB/1TB/6GB RTX3050/144Hz/Balo/Win11 (2077VN),MSI,Không có,Không có,Không có,//www.thegioididong.com/laptop/msi-katana-15-b13udxk-i7-2077vn,"['Laptop MSI Gaming Katana 15 B13UDXK i7 13620H (2077VN) - cỗ máy chiến game đỉnh cao đến từ MSI với chip Intel Gen 13 dòng H hiệu năng cao và card RTX 30 series mạnh mẽ, sẵn sàng chinh phục mọi chiến trường ảo cùng cộng đồng game thủ.']"
Laptop HP Elitebook X360 830 G11 Ultra 5 135U/16GB/512GB/Touch/Pen/Win11 Pro (A7RB9PT),HP,Không có,Không có,Không có,//www.thegioididong.com/laptop/hp-elitebook-x360-830-g11-ultra-5-a7rb9pt,"['Nếu bạn đang tìm kiếm một chiếc laptop cao cấp sang trọng, tiện lợi và mạnh mẽ, laptop HP Elitebook X360 830 G11 Ultra 5 135U (A7RB9PT) chính là lựa chọn lý tưởng. Với thiết kế thanh lịch, tính năng gập mở 2 trong 1 độc đáo, hiệu năng vượt trội từ bộ vi xử lý Intel Core Ultra thế hệ mới,... sẽ phát huy tối đa khả năng làm việc và tính ứng dụng trong sinh hoạt hàng ngày của người dùng.']"
Laptop Dell Inspiron 7440 Core 5 120U/16GB/1TB/Touch/Pen/OfficeHS/Win11 (N4I5006W1),Dell,30.990.000₫,28.990.000₫ *,-6%,//www.thegioididong.com/laptop/dell-inspiron-7440-core-5-n4i5006w1,"['Laptop Dell Inspiron 7440 Core 5 120U (N4I5006W1) không chỉ là chiếc laptop cao cấp, mà còn là một công cụ mạnh mẽ được thiết kế riêng cho các chuyên gia đồ họa, lập trình viên và người dùng sáng tạo. Mang dáng vẻ tinh tế và khả năng vận hành vượt trội, chiếc laptop này định nghĩa lại tiêu chuẩn của dòng máy doanh nhân, mở ra trải nghiệm làm việc và giải trí đỉnh cao.']"
Laptop MSI Stealth A16 AI+ A3XVGG R9 AI HX 370/32GB/2TB/8GB RTX4070/120Hz/Balo/Chuột/Win11 (208VN),MSI,72.490.000₫,67.190.000₫,-7%,//www.thegioididong.com/laptop/msi-stealth-a16-ai-a3xvgg-r9-ai-hx-370-208vn,"['Laptop kỹ thuật, đồ họa ngày nay không chỉ cần mạnh mẽ mà còn phải đáp ứng được yêu cầu thẩm mỹ, tính linh hoạt và hiệu suất tối ưu. Laptop MSI Stealth A16 AI+ A3XVGG R9 AI HX 370 (208VN) chính là câu trả lời hoàn hảo, kết hợp sức mạnh của bộ vi xử lý tích hợp AI hàng đầu, card rời RTX 40 series cùng thiết kế đẳng cấp. Đây là người bạn đồng hành lý tưởng cho những game thủ, nhà thiết kế đồ họa hoặc các chuyên gia kỹ thuật đang tìm kiếm sự tối ưu hóa trong công việc và giải trí.', 'Thiết kế hiện đại, sang trọng và thể thao']"
Không có,có,Không có,Không có,Không có,//www.thegioididong.com/laptop/msi-vector-16-hx-ai-a2xwig-ultra-9-062vn,Không có
Laptop Dell Vostro 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/Win11 (V3520-i5U165W11GRU),Dell,16.990.000₫,16.490.000₫ *,Không có,//www.thegioididong.com/laptop/dell-vostro-15-3520-i5-v3520i5u165w11gru,"['Laptop Dell Vostro 15 3520 i5 1235U (V3520-i5U165W11GRU) mang đến sự cân nhắc hoàn hảo cho học sinh, sinh viên và người đi làm nhờ sự kết hợp hoàn hảo giữa hiệu năng mạnh mẽ và thiết kế tinh tế. Với việc sở hữu mức giá thành vô cùng phù hợp cũng là điểm cộng vô cùng sáng giá cho mẫu sản phẩm này.']"
Laptop Lenovo Ideapad Slim 3 15IAH8 i5 12450H/16GB/512GB/Win11 (83ER000EVN),Lenovo,15.990.000₫,14.690.000₫ *,-8%,//www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15iah8-i5-83er00evn,"['Laptop Lenovo Ideapad Slim 3 15IAH8 i5 12450H (83ER000EVN) một mẫu laptop học tập - văn phòng sở hữu cấu hình mạnh mẽ với con chip Intel dòng H, RAM 16 GB cùng đa dạng các công nghệ hiện đại, hứa hẹn sẽ mang đến cho người dùng những trải nghiệm sử dụng làm việc và giải trí đa phương tiện một cách tối ưu và đầy tiện nghi.', 'Đẹp mắt và thanh lịch hơn']"
Laptop HP Envy X360 14 fa0048AU R7 8840HS/16GB/512GB/Touch/Pen/Win11 (A19BQPA),HP,Không có,Không có,Không có,//www.thegioididong.com/laptop/hp-envy-x360-14-fa0048au-r7-a19bqpa?utm_flashsale=1,"['Laptop HP Envy X360 14 fa0048AU R7 8840HS (A19BQPA) định hình lối thiết kế chuẩn doanh nhân khi sở hữu thiết kế sang trọng trên từng đường nét, hiệu năng tích hợp mạnh mẽ cũng như có khối lượng vô cùng nhẹ nhàng. Sắm laptop ngay tại Thế Giới Di Động để có phong cách làm việc như chuyên gia.']"
Laptop HP Pavilion 15 eg3093TU i5 1335U/16GB/512GB/Win11 (8C5L4PA),HP,Không có,Không có,Không có,//www.thegioididong.com/laptop/hp-pavilion-15-eg3093tu-i5-8c5l4pa,"['Laptop HP Pavilion 15 eg3093TU i5 1335U (8C5L4PA) có hiệu năng tốt với bộ vi xử lý mạnh mẽ từ CPU Gen 13, RAM 16 GB đáp ứng đa dạng nhu cầu sử dụng của bạn. Điều này làm cho chiếc laptop này trở thành lựa chọn hấp dẫn cho công việc văn phòng, giải trí và sử dụng hàng ngày.']"
