TrafficID,DateKey,CustomerKey,ProductKey,ActionType,DeviceType,Browser,SessionID,TimeSpentSeconds,Referrer,IP
1,20230125,136,110,Click,Desktop,Edge,c12c5395-5a93-4f70-9ecd-ec9799924b56,44,google.com,16.232.236.152
2,20230421,40,130,Purchase,Desktop,Edge,106acdf3-1e83-4032-aef8-7429a733916f,154,google.com,174.33.186.92
3,20231226,33,29,View,Tablet,Chrome,cd39a060-380a-4db2-9c94-ff5e06744923,26,direct,19.209.159.247
4,20230525,201,160,AddToCart,Tablet,Firefox,99651869-8f9e-4394-930a-62f3fb67b162,233,direct,146.248.68.220
5,20231001,272,20,RemoveFromCart,Tablet,Chrome,10406e9a-f97e-4be2-b42a-5132b525cf88,218,direct,164.128.50.232
6,20230726,294,272,View,Mobile,Firefox,9c261271-e627-476a-8589-b4b7d6d223c7,236,facebook.com,51.102.69.237
7,20230323,94,328,Click,Tablet,Opera,667d1003-e0f3-4b6a-9727-f808cb0edea8,34,email,112.0.89.176
8,20230618,156,138,Purchase,Mobile,Firefox,100c12d2-4e4a-458d-8643-1cc02d2274db,170,email,148.52.143.1
9,20230908,345,178,Click,Desktop,Opera,2d6b76dc-d240-49df-9755-2705379bd52c,272,instagram.com,156.205.101.81
10,20230815,172,267,RemoveFromCart,Desktop,Firefox,1daad03e-9133-4c5c-84c5-a55893af9fa8,72,google.com,60.245.239.96
11,20230601,106,329,AddToCart,Tablet,Firefox,a102b200-fc12-4b29-a846-a5ab79b3d15d,10,tiktok.com,219.153.109.238
12,20240120,236,312,View,Mobile,Edge,4721d0e4-dba1-44d2-a760-c95e640d150d,129,google.com,99.146.49.91
13,20231109,19,241,Click,Desktop,Opera,43b0cb07-d162-4a21-a799-e515352f90f4,211,facebook.com,64.176.191.80
14,20230502,225,114,View,Tablet,Chrome,fd6980ae-856c-4e63-99f3-fbe1f88a2bf3,19,facebook.com,123.239.173.7
15,20230316,244,201,Click,Desktop,Firefox,5564741e-1933-46fd-a277-14a27e5790a6,169,tiktok.com,81.218.57.112
16,20231127,128,269,View,Desktop,Edge,bd45e56c-d7ae-4ed5-bb9f-0aa013791da2,12,google.com,200.76.15.77
