Link,Cong_Giao_tiep,Wireless,Webcams,Features,Den_ban_phim
//www.thegioididong.com/laptop/msi-bravo-15-b7ed-r5-010vn,"LAN (RJ45)
1 x USB 2.0
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
1 x USB Type-C (hỗ trợ USB 3.2, DisplayPort)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",HD webcam,2 quạt,"TPM 2.0
Bản lề mở 180 độ"
//www.thegioididong.com/laptop/msi-cyborg-15-a13vek-i7-1423vn,"LAN (RJ45)
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
1 x USB Type-C (hỗ trợ USB 3.2, DisplayPort)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",HD webcam,Cooler Boost,Bản lề mở 180 độ
//www.thegioididong.com/laptop/asus-rog-strix-g16-g614jv-i7-n3515w,"LAN (RJ45)
Jack tai nghe 3.5 mm
1 x USB 3.2 Gen 2 Type-C (hỗ trợ DisplayPort, Power delivery, G-SYNC)
2 x USB 3.2
HDMI
1 x Thunderbolt 4 (hỗ trợ DisplayPort)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",HD webcam,"MUX Switch
NVIDIA Optimus",Đèn chuyển màu RGB - 4 vùng
//www.thegioididong.com/laptop/asus-vivobook-x1404za-i3-nk246w,"USB Type-C
1 x USB 2.0
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",HD webcam,"Độ bền chuẩn quân đội MIL STD 810H
Bản lề mở 180 độ
Bảo mật vân tay
Công tắc khóa camera",Không có đèn
//www.thegioididong.com/laptop/hp-elitebook-635-aero-g11-r5-a8ws6pt,"HDMI
2 x USB 3.2
1 x Headphone/microphone combo
2 x Thunderbolt 4 (hỗ trợ Power Delivery, DisplayPort)","Wi-Fi 6 (802.11ax)
Bluetooth 5.3",Camera IR 5 MP,"Công tắc khóa camera
Mở khóa khuôn mặt",Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/dell-latitude-5450-ultra-5-l5450125u16512w,Không có,Không có,Không có,Không có,Không có
//www.thegioididong.com/laptop/hp-envy-x360-14-fc0162tu-ultra-5-ay8x1pa,"HDMI
2 x USB Type-A
1 x USB Type-C (USB Power Delivery, DisplayPort 2.1)
1 x Thunderbolt 4 with USB Type-C (hỗ trợ USB Power Delivery, DisplayPort 2.1)
1 x Headphone/microphone combo","Bluetooth 5.2
Wi-Fi 6 (802.11ax)",HD webcam,Cooler Boost,Đơn sắc - Màu đỏ
//www.thegioididong.com/laptop/msi-gaming-gf63-thin-12uc-i7-887vn,"USB Type-C
1x Mic-in
1x Headphone-out
3 x USB 3.2
HDMI
LAN (RJ45)",Không có,Không có,Không có,Không có
//www.thegioididong.com/laptop/msi-katana-a15-ai-b8vg-r9-466vn,Không có,"Bluetooth 5.0
Wi-Fi 6 (802.11ax)",SD,HD webcam,Không có đèn
//www.thegioididong.com/laptop/dell-inspiron-15-3530-i7-p16wd,"USB Type-C
1 x USB 2.0
Jack tai nghe 3.5 mm
1 x USB 3.2
HDMI","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",Full HD Webcam,"Bản lề mở 180 độ
Bảo mật vân tay
Công tắc khóa camera",Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-n5i5530w1,"USB Type-C
1 x USB 2.0
Jack tai nghe 3.5 mm
1 x USB 3.2
HDMI","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",HD webcam,"Lớp phủ ASUS Antimicrobial Guard
Độ bền chuẩn quân đội MIL STD 810H
Bản lề mở 180 độ
Bảo mật vân tay
Công tắc khóa camera",Không có đèn
//www.thegioididong.com/laptop/hp-probook-460-g11-ultra-5-a74btpt,"LAN (RJ45)
2 x USB 3.2
HDMI
1 x Headphone/microphone combo
2 x USB Type-C (Power Delivery and DisplayPort)","Wi-Fi 6 (802.11ax)
Bluetooth 5",Micro SD,Full HD Webcam,Công tắc khóa camera
//www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505va-i9-ma586ws,"Jack tai nghe 3.5 mm
1 x USB 2.0
2 x USB 3.2
HDMI
1 x USB Type-C (chỉ hỗ trợ Power Delivery)","Bluetooth 5.2
Wi-Fi 6 (802.11ax)",Micro SD,"Full HD Webcam
Camera IR","TPM 2.0
Độ bền chuẩn quân đội MIL STD 810H
Công tắc khóa camera"
//www.thegioididong.com/laptop/acer-aspire-lite-al14-52m-54cj-i5-nxj39sv002,"Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
1 x USB Type-C (hỗ trợ DisplayPort)","Bluetooth 5.2
Wi-Fi 6 (802.11ax)",SD,HD webcam,"TPM 2.0
Độ bền chuẩn quân đội MIL STD 810H
Bản lề mở 180 độ
Bảo mật vân tay
Công tắc khóa camera"
//www.thegioididong.com/laptop/lenovo-ideapad-slim-5-14imh9-ultra-5-83da001nvn,"HDMI
2 x USB Type-C 3.2 (hỗ trợ Power Delivery 3.0 và DisplayPort 1.4)
1 x USB 3.2
1 x Headphone/microphone combo
1 x USB 3.2 (Always on)","Wi-Fi 6E (802.11ax)
Bluetooth 5.1",Full HD Webcam,Bảo mật vân tay,Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15irh8-i7-83em003fvn,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
1x USB-C 3.2 (hỗ trợ truyền dữ liệu, Power Delivery và DisplayPort 1.2)","Wi-Fi 6 (802.11ax)
Bluetooth 5.3",SD,HD webcam,Đơn sắc
//www.thegioididong.com/laptop/acer-aspire-5-a515-58m-79r7-i7-nxkq8sv007,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
1 x USB Type-C (hỗ trợ USB 4, DisplayPort và Thunderbolt 4)","Wi-Fi 6 (802.11ax)
Bluetooth 5.3",Micro SD,QHD Webcam,"Tiêu chuẩn Nền Intel Evo
Bản lề mở 180 độ
Bảo mật vân tay"
